_id,date,center_name,attendance_count
40768683,2015-12-29,Magee Community Center,63
40768684,2015-12-29,Ormsby Community Center,40
40768685,2015-12-29,Phillips Community Center,96
40768686,2015-12-29,Warrington Community Center,24
40768687,2015-12-28,West Penn Community Center,78
40768688,2015-12-28,Arlington Community Center,49
40768689,2015-12-28,Ammon Community Center,40
40768690,2015-12-28,Jefferson Community Center,14
40768691,2015-12-28,Brookline Community Center,152
40768692,2015-12-28,Magee Community Center,75
40768693,2015-12-28,Ormsby Community Center,30
40768694,2015-12-28,Warrington Community Center,59
40768695,2015-12-28,Phillips Community Center,112
40768696,2015-12-24,West Penn Community Center,14
40768697,2015-12-24,Ammon Community Center,17
40768698,2015-12-24,Arlington Community Center,6
40768699,2015-12-24,Brookline Community Center,38
40768700,2015-12-24,Jefferson Community Center,27
40768701,2015-12-24,Magee Community Center,11
40768702,2015-12-24,Ormsby Community Center,16
40768703,2015-12-24,Phillips Community Center,44
40768704,2015-12-24,Warrington Community Center,21
40768705,2015-12-23,West Penn Community Center,56
40768706,2015-12-23,Arlington Community Center,29
40768707,2015-12-23,Ammon Community Center,118
40768708,2015-12-23,Jefferson Community Center,22
40768709,2015-12-23,Brookline Community Center,107
40768710,2015-12-23,Magee Community Center,62
40768711,2015-12-23,Ormsby Community Center,51
40768712,2015-12-23,Paulson Community Center,10
40768713,2015-12-23,Warrington Community Center,34
40768714,2015-12-23,Phillips Community Center,53
40768715,2015-12-22,West Penn Community Center,49
40768716,2015-12-22,Ammon Community Center,42
40768717,2015-12-22,Arlington Community Center,21
40768718,2015-12-22,Brookline Community Center,150
40768719,2015-12-22,Jefferson Community Center,26
40768720,2015-12-22,Magee Community Center,73
40768721,2015-12-22,Paulson Community Center,17
40768722,2015-12-22,Ormsby Community Center,43
40768723,2015-12-22,Warrington Community Center,60
40768724,2015-12-21,West Penn Community Center,77
40768725,2015-12-21,Arlington Community Center,35
40768726,2015-12-21,Ammon Community Center,143
40768727,2015-12-21,Jefferson Community Center,43
40768728,2015-12-21,Brookline Community Center,128
40768729,2015-12-21,Magee Community Center,83
40768730,2015-12-21,Ormsby Community Center,50
40768731,2015-12-21,Paulson Community Center,15
40768732,2015-12-21,Warrington Community Center,55
40768733,2015-12-21,Phillips Community Center,137
40768734,2015-12-19,West Penn Community Center,35
40768735,2015-12-19,Ammon Community Center,34
40768736,2015-12-19,Brookline Community Center,66
40768737,2015-12-19,Magee Community Center,18
40768738,2015-12-19,Ormsby Community Center,14
40768739,2015-12-19,Phillips Community Center,26
40768740,2015-12-18,West Penn Community Center,43
40768741,2015-12-18,Ammon Community Center,86
40768742,2015-12-18,Arlington Community Center,24
40768743,2015-12-18,Brookline Community Center,186
40768744,2015-12-18,Jefferson Community Center,28
40768745,2015-12-18,Magee Community Center,79
40768746,2015-12-18,Ormsby Community Center,29
40768747,2015-12-18,Phillips Community Center,45
40768748,2015-12-18,Warrington Community Center,49
40768749,2015-12-17,West Penn Community Center,58
40768750,2015-12-17,Arlington Community Center,28
40768751,2015-12-17,Ammon Community Center,189
40768752,2015-12-17,Jefferson Community Center,26
40768753,2015-12-17,Brookline Community Center,115
40768754,2015-12-17,Magee Community Center,78
40768755,2015-12-17,Ormsby Community Center,44
40768756,2015-12-17,Warrington Community Center,55
40768757,2015-12-17,Phillips Community Center,79
40768758,2015-12-16,West Penn Community Center,53
40768759,2015-12-16,Ammon Community Center,245
40768760,2015-12-16,Arlington Community Center,19
40768761,2015-12-16,Brookline Community Center,135
40768762,2015-12-16,Jefferson Community Center,28
40768763,2015-12-16,Magee Community Center,77
40768764,2015-12-16,Ormsby Community Center,55
40768765,2015-12-16,Phillips Community Center,113
40768766,2015-12-16,Warrington Community Center,61
40768767,2015-12-15,West Penn Community Center,66
40768768,2015-12-15,Arlington Community Center,20
40768769,2015-12-15,Ammon Community Center,60
40768770,2015-12-15,Jefferson Community Center,51
40768771,2015-12-15,Brookline Community Center,159
40768772,2015-12-15,Magee Community Center,40
40768773,2015-12-15,Ormsby Community Center,35
40768774,2015-12-15,Paulson Community Center,9
40768775,2015-12-15,Warrington Community Center,70
40768776,2015-12-15,Phillips Community Center,89
40768777,2015-12-14,West Penn Community Center,82
40768778,2015-12-14,Ammon Community Center,66
40768779,2015-12-14,Arlington Community Center,36
40768780,2015-12-14,Brookline Community Center,121
40768781,2015-12-14,Jefferson Community Center,28
40768782,2015-12-14,Magee Community Center,78
40768783,2015-12-14,Ormsby Community Center,29
40768784,2015-12-14,Phillips Community Center,108
40768785,2015-12-14,Warrington Community Center,46
40768786,2015-12-13,Ammon Community Center,24
40768787,2015-12-12,West Penn Community Center,59
40768788,2015-12-12,Brookline Community Center,103
40768789,2015-12-12,Magee Community Center,17
40768790,2015-12-12,Ormsby Community Center,27
40768791,2015-12-12,Warrington Community Center,106
40768792,2015-12-12,Phillips Community Center,20
40768793,2015-12-11,West Penn Community Center,45
40768794,2015-12-11,Ammon Community Center,30
40768795,2015-12-11,Arlington Community Center,28
40768796,2015-12-11,Brookline Community Center,198
40768797,2015-12-11,Jefferson Community Center,36
40768798,2015-12-11,Magee Community Center,38
40768799,2015-12-11,Ormsby Community Center,26
40768800,2015-12-11,Phillips Community Center,74
40768801,2015-12-11,Warrington Community Center,44
40768802,2015-12-10,West Penn Community Center,48
40768803,2015-12-10,Arlington Community Center,32
40768804,2015-12-10,Ammon Community Center,94
40768805,2015-12-10,Jefferson Community Center,51
40768806,2015-12-10,Brookline Community Center,92
40768807,2015-12-10,Magee Community Center,127
40768808,2015-12-10,Ormsby Community Center,66
40768809,2015-12-10,Warrington Community Center,37
40768810,2015-12-10,Phillips Community Center,92
40768811,2015-12-09,West Penn Community Center,68
40768812,2015-12-09,Ammon Community Center,140
40768813,2015-12-09,Arlington Community Center,30
40768814,2015-12-09,Brookline Community Center,165
40768815,2015-12-09,Jefferson Community Center,45
40768816,2015-12-09,Magee Community Center,31
40768817,2015-12-09,Ormsby Community Center,78
40768818,2015-12-09,Paulson Community Center,31
40768819,2015-12-09,Phillips Community Center,108
40768820,2015-12-09,Warrington Community Center,27
40768821,2015-12-08,West Penn Community Center,134
40768822,2015-12-08,Arlington Community Center,19
40768823,2015-12-08,Ammon Community Center,129
40768824,2015-12-08,Brookline Community Center,246
40768825,2015-12-08,Magee Community Center,40
40768826,2015-12-08,Paulson Community Center,25
40768827,2015-12-08,Ormsby Community Center,24
40768828,2015-12-08,Warrington Community Center,27
40768829,2015-12-08,Phillips Community Center,124
40768830,2015-12-07,West Penn Community Center,45
40768831,2015-12-07,Ammon Community Center,189
40768832,2015-12-07,Arlington Community Center,27
40768833,2015-12-07,Brookline Community Center,129
40768834,2015-12-07,Magee Community Center,49
40768835,2015-12-07,Ormsby Community Center,33
40768836,2015-12-07,Phillips Community Center,119
40768837,2015-12-07,Warrington Community Center,23
40768838,2015-12-05,West Penn Community Center,103
40768839,2015-12-05,Ammon Community Center,41
40768840,2015-12-05,Brookline Community Center,47
40768841,2015-12-05,Magee Community Center,11
40768842,2015-12-05,Ormsby Community Center,19
40768843,2015-12-05,Phillips Community Center,40
40768844,2015-12-04,West Penn Community Center,43
40768845,2015-12-04,Ammon Community Center,53
40768846,2015-12-04,Arlington Community Center,18
40768847,2015-12-04,Brookline Community Center,200
40768848,2015-12-04,Magee Community Center,54
40768849,2015-12-04,Ormsby Community Center,33
40768850,2015-12-04,Phillips Community Center,76
40768851,2015-12-04,Warrington Community Center,10
40768852,2015-12-03,West Penn Community Center,100
40768853,2015-12-03,Arlington Community Center,32
40768854,2015-12-03,Ammon Community Center,175
40768855,2015-12-03,Brookline Community Center,113
40768856,2015-12-03,Magee Community Center,21
40768857,2015-12-03,Ormsby Community Center,9
40768858,2015-12-03,Warrington Community Center,13
40768859,2015-12-03,Phillips Community Center,71
40768860,2015-12-02,West Penn Community Center,106
40768861,2015-12-02,Ammon Community Center,138
40768862,2015-12-02,Arlington Community Center,28
40768863,2015-12-02,Brookline Community Center,119
40768864,2015-12-02,Magee Community Center,52
40768865,2015-12-02,Phillips Community Center,91
40768866,2015-12-02,Warrington Community Center,33
40768867,2015-12-01,West Penn Community Center,135
40768868,2015-12-01,Arlington Community Center,25
40768869,2015-12-01,Ammon Community Center,116
40768870,2015-12-01,Brookline Community Center,222
40768871,2015-12-01,Jefferson Community Center,23
40768872,2015-12-01,Magee Community Center,50
40768873,2015-12-01,Paulson Community Center,22
40768874,2015-12-01,Warrington Community Center,54
40768875,2015-12-01,Phillips Community Center,105
40768876,2015-11-30,West Penn Community Center,43
40768877,2015-11-30,Ammon Community Center,149
40768878,2015-11-30,Arlington Community Center,45
40768879,2015-11-30,Jefferson Community Center,9
40768880,2015-11-30,Brookline Community Center,133
40768881,2015-11-30,Magee Community Center,15
40768882,2015-11-30,Phillips Community Center,88
40768883,2015-11-30,Warrington Community Center,50
40768884,2015-11-28,Ammon Community Center,70
40768885,2015-11-25,West Penn Community Center,40
40768886,2015-11-25,Ammon Community Center,79
40768887,2015-11-25,Arlington Community Center,16
40768888,2015-11-25,Brookline Community Center,99
40768889,2015-11-25,Jefferson Community Center,9
40768890,2015-11-25,Magee Community Center,49
40768891,2015-11-25,Warrington Community Center,23
40768892,2015-11-25,Phillips Community Center,47
40768893,2015-11-24,West Penn Community Center,107
40768894,2015-11-24,Arlington Community Center,38
40768895,2015-11-24,Ammon Community Center,72
40768896,2015-11-24,Jefferson Community Center,39
40768897,2015-11-24,Brookline Community Center,81
40768898,2015-11-24,Magee Community Center,37
40768899,2015-11-24,Phillips Community Center,76
40768900,2015-11-24,Warrington Community Center,46
40768901,2015-11-23,West Penn Community Center,40
40768902,2015-11-23,Ammon Community Center,55
40768903,2015-11-23,Arlington Community Center,39
40768904,2015-11-23,Brookline Community Center,146
40768905,2015-11-23,Jefferson Community Center,25
40768906,2015-11-23,Magee Community Center,69
40768907,2015-11-23,Warrington Community Center,46
40768908,2015-11-23,Phillips Community Center,97
40768909,2015-11-21,West Penn Community Center,11
40768910,2015-11-21,Ammon Community Center,25
40768911,2015-11-21,Brookline Community Center,90
40768912,2015-11-21,Magee Community Center,26
40768913,2015-11-21,Phillips Community Center,23
40768914,2015-11-20,West Penn Community Center,31
40768915,2015-11-20,Ammon Community Center,45
40768916,2015-11-20,Arlington Community Center,14
40768917,2015-11-20,Brookline Community Center,109
40768918,2015-11-20,Jefferson Community Center,23
40768919,2015-11-20,Magee Community Center,48
40768920,2015-11-20,Paulson Community Center,30
40768921,2015-11-20,Ormsby Community Center,4
40768922,2015-11-20,Phillips Community Center,56
40768923,2015-11-20,Warrington Community Center,46
40768924,2015-11-19,West Penn Community Center,113
40768925,2015-11-19,Arlington Community Center,20
40768926,2015-11-19,Ammon Community Center,44
40768927,2015-11-19,Brookline Community Center,109
40768928,2015-11-19,Magee Community Center,41
40768929,2015-11-19,Ormsby Community Center,1
40768930,2015-11-19,Paulson Community Center,1
40768931,2015-11-19,Warrington Community Center,42
40768932,2015-11-19,Phillips Community Center,103
40768933,2015-11-18,West Penn Community Center,68
40768934,2015-11-18,Ammon Community Center,83
40768935,2015-11-18,Arlington Community Center,40
40768936,2015-11-18,Brookline Community Center,136
40768937,2015-11-18,Magee Community Center,49
40768938,2015-11-18,Paulson Community Center,18
40768939,2015-11-18,Phillips Community Center,82
40768940,2015-11-18,Warrington Community Center,64
40768941,2015-11-17,West Penn Community Center,97
40768942,2015-11-17,Arlington Community Center,28
40768943,2015-11-17,Ammon Community Center,144
40768944,2015-11-17,Brookline Community Center,134
40768945,2015-11-17,Magee Community Center,30
40768946,2015-11-17,Ormsby Community Center,4
40768947,2015-11-17,Warrington Community Center,58
40768948,2015-11-17,Phillips Community Center,78
40768949,2015-11-16,West Penn Community Center,38
40768950,2015-11-16,Ammon Community Center,192
40768951,2015-11-16,Arlington Community Center,21
40768952,2015-11-16,Brookline Community Center,184
40768953,2015-11-16,Magee Community Center,49
40768954,2015-11-16,Ormsby Community Center,50
40768955,2015-11-16,Phillips Community Center,111
40768956,2015-11-16,Warrington Community Center,47
40768957,2015-11-14,West Penn Community Center,30
40768958,2015-11-14,Brookline Community Center,57
40768959,2015-11-14,Magee Community Center,44
40768960,2015-11-14,Phillips Community Center,27
40768961,2015-11-13,West Penn Community Center,54
40768962,2015-11-13,Arlington Community Center,16
40768963,2015-11-13,Ammon Community Center,3
40768964,2015-11-13,Brookline Community Center,57
40768965,2015-11-13,Jefferson Community Center,18
40768966,2015-11-13,Magee Community Center,31
40768967,2015-11-13,Ormsby Community Center,19
40768968,2015-11-13,Phillips Community Center,77
40768969,2015-11-13,Warrington Community Center,35
40768970,2015-11-12,West Penn Community Center,133
40768971,2015-11-12,Ammon Community Center,77
40768972,2015-11-12,Arlington Community Center,18
40768973,2015-11-12,Jefferson Community Center,17
40768974,2015-11-12,Brookline Community Center,121
40768975,2015-11-12,Magee Community Center,50
40768976,2015-11-12,Ormsby Community Center,65
40768977,2015-11-12,Warrington Community Center,33
40768978,2015-11-12,Phillips Community Center,88
40768979,2015-11-10,West Penn Community Center,60
40768980,2015-11-10,Arlington Community Center,14
40768981,2015-11-10,Ammon Community Center,84
40768982,2015-11-10,Brookline Community Center,87
40768983,2015-11-10,Jefferson Community Center,25
40768984,2015-11-10,Magee Community Center,18
40768985,2015-11-10,Ormsby Community Center,38
40768986,2015-11-10,Phillips Community Center,85
40768987,2015-11-10,Warrington Community Center,29
40768988,2015-11-09,West Penn Community Center,32
40768989,2015-11-09,Ammon Community Center,73
40768990,2015-11-09,Arlington Community Center,37
40768991,2015-11-09,Jefferson Community Center,19
40768992,2015-11-09,Magee Community Center,38
40768993,2015-11-09,Ormsby Community Center,55
40768994,2015-11-09,Warrington Community Center,46
40768995,2015-11-09,Phillips Community Center,88
40768996,2015-11-07,West Penn Community Center,23
40768997,2015-11-07,Ammon Community Center,49
40768998,2015-11-07,Brookline Community Center,162
40768999,2015-11-07,Magee Community Center,61
40769000,2015-11-07,Ormsby Community Center,10
40769001,2015-11-07,Phillips Community Center,17
40769002,2015-11-06,West Penn Community Center,60
40769003,2015-11-06,Ammon Community Center,21
40769004,2015-11-06,Arlington Community Center,21
40769005,2015-11-06,Brookline Community Center,67
40769006,2015-11-06,Jefferson Community Center,29
40769007,2015-11-06,Magee Community Center,27
40769008,2015-11-06,Ormsby Community Center,23
40769009,2015-11-06,Phillips Community Center,72
40769010,2015-11-06,Warrington Community Center,24
40769011,2015-11-05,West Penn Community Center,168
40769012,2015-11-05,Arlington Community Center,22
40769013,2015-11-05,Ammon Community Center,93
40769014,2015-11-05,Jefferson Community Center,32
40769015,2015-11-05,Brookline Community Center,111
40769016,2015-11-05,Magee Community Center,13
40769017,2015-11-05,Ormsby Community Center,30
40769018,2015-11-05,Warrington Community Center,29
40769019,2015-11-05,Phillips Community Center,92
40769020,2015-11-04,West Penn Community Center,60
40769021,2015-11-04,Ammon Community Center,40
40769022,2015-11-04,Arlington Community Center,20
40769023,2015-11-04,Brookline Community Center,127
40769024,2015-11-04,Jefferson Community Center,19
40769025,2015-11-04,Magee Community Center,28
40769026,2015-11-04,Ormsby Community Center,55
40769027,2015-11-04,Paulson Community Center,1
40769028,2015-11-04,Phillips Community Center,75
40769029,2015-11-04,Warrington Community Center,32
40769030,2015-11-03,West Penn Community Center,62
40769031,2015-11-03,Ammon Community Center,45
40769032,2015-11-03,Jefferson Community Center,29
40769033,2015-11-03,Brookline Community Center,247
40769034,2015-11-03,Magee Community Center,20
40769035,2015-11-03,Ormsby Community Center,36
40769036,2015-11-03,Phillips Community Center,128
40769037,2015-11-02,West Penn Community Center,55
40769038,2015-11-02,Ammon Community Center,132
40769039,2015-11-02,Arlington Community Center,26
40769040,2015-11-02,Brookline Community Center,94
40769041,2015-11-02,Jefferson Community Center,30
40769042,2015-11-02,Magee Community Center,22
40769043,2015-11-02,Ormsby Community Center,30
40769044,2015-11-02,Phillips Community Center,85
40769045,2015-11-02,Warrington Community Center,26
40769046,2015-10-31,Brookline Community Center,73
40769047,2015-10-31,Magee Community Center,39
40769048,2015-10-31,Ormsby Community Center,11
40769049,2015-10-31,Phillips Community Center,33
40769050,2015-10-30,West Penn Community Center,29
40769051,2015-10-30,Arlington Community Center,13
40769052,2015-10-30,Ammon Community Center,23
40769053,2015-10-30,Brookline Community Center,64
40769054,2015-10-30,Jefferson Community Center,22
40769055,2015-10-30,Magee Community Center,18
40769056,2015-10-30,Ormsby Community Center,18
40769057,2015-10-30,Phillips Community Center,50
40769058,2015-10-30,Warrington Community Center,7
40769059,2015-10-29,West Penn Community Center,87
40769060,2015-10-29,Ammon Community Center,80
40769061,2015-10-29,Arlington Community Center,9
40769062,2015-10-29,Jefferson Community Center,29
40769063,2015-10-29,Brookline Community Center,92
40769064,2015-10-29,Magee Community Center,17
40769065,2015-10-29,Ormsby Community Center,28
40769066,2015-10-29,Warrington Community Center,13
40769067,2015-10-29,Phillips Community Center,67
40769068,2015-10-28,West Penn Community Center,66
40769069,2015-10-28,Arlington Community Center,29
40769070,2015-10-28,Ammon Community Center,58
40769071,2015-10-28,Brookline Community Center,130
40769072,2015-10-28,Jefferson Community Center,16
40769073,2015-10-28,Magee Community Center,40
40769074,2015-10-28,Ormsby Community Center,33
40769075,2015-10-28,Phillips Community Center,57
40769076,2015-10-28,Warrington Community Center,23
40769077,2015-10-27,West Penn Community Center,39
40769078,2015-10-27,Ammon Community Center,91
40769079,2015-10-27,Arlington Community Center,24
40769080,2015-10-27,Jefferson Community Center,10
40769081,2015-10-27,Brookline Community Center,113
40769082,2015-10-27,Magee Community Center,21
40769083,2015-10-27,Ormsby Community Center,67
40769084,2015-10-27,Warrington Community Center,56
40769085,2015-10-27,Phillips Community Center,99
40769086,2015-10-26,West Penn Community Center,44
40769087,2015-10-26,Arlington Community Center,23
40769088,2015-10-26,Ammon Community Center,191
40769089,2015-10-26,Brookline Community Center,129
40769090,2015-10-26,Jefferson Community Center,18
40769091,2015-10-26,Magee Community Center,18
40769092,2015-10-26,Ormsby Community Center,59
40769093,2015-10-26,Phillips Community Center,73
40769094,2015-10-26,Warrington Community Center,55
40769095,2015-10-24,West Penn Community Center,22
40769096,2015-10-24,Brookline Community Center,63
40769097,2015-10-24,Magee Community Center,59
40769098,2015-10-24,Ormsby Community Center,8
40769099,2015-10-24,Phillips Community Center,14
40769100,2015-10-23,West Penn Community Center,19
40769101,2015-10-23,Ammon Community Center,103
40769102,2015-10-23,Arlington Community Center,18
40769103,2015-10-23,Brookline Community Center,99
40769104,2015-10-23,Jefferson Community Center,25
40769105,2015-10-23,Magee Community Center,22
40769106,2015-10-23,Ormsby Community Center,21
40769107,2015-10-23,Phillips Community Center,61
40769108,2015-10-23,Warrington Community Center,32
40769109,2015-10-22,West Penn Community Center,115
40769110,2015-10-22,Arlington Community Center,7
40769111,2015-10-22,Ammon Community Center,157
40769112,2015-10-22,Jefferson Community Center,18
40769113,2015-10-22,Brookline Community Center,137
40769114,2015-10-22,Magee Community Center,16
40769115,2015-10-22,Ormsby Community Center,34
40769116,2015-10-22,Warrington Community Center,39
40769117,2015-10-22,Phillips Community Center,61
40769118,2015-10-21,West Penn Community Center,65
40769119,2015-10-21,Ammon Community Center,156
40769120,2015-10-21,Arlington Community Center,19
40769121,2015-10-21,Brookline Community Center,165
40769122,2015-10-21,Jefferson Community Center,19
40769123,2015-10-21,Ormsby Community Center,35
40769124,2015-10-21,Phillips Community Center,81
40769125,2015-10-21,Warrington Community Center,19
40769126,2015-10-20,West Penn Community Center,43
40769127,2015-10-20,Arlington Community Center,20
40769128,2015-10-20,Ammon Community Center,159
40769129,2015-10-20,Jefferson Community Center,26
40769130,2015-10-20,Brookline Community Center,112
40769131,2015-10-20,Ormsby Community Center,49
40769132,2015-10-20,Warrington Community Center,40
40769133,2015-10-20,Phillips Community Center,95
40769134,2015-10-19,West Penn Community Center,41
40769135,2015-10-19,Ammon Community Center,113
40769136,2015-10-19,Arlington Community Center,26
40769137,2015-10-19,Brookline Community Center,112
40769138,2015-10-19,Jefferson Community Center,31
40769139,2015-10-19,Ormsby Community Center,35
40769140,2015-10-19,Phillips Community Center,97
40769141,2015-10-17,West Penn Community Center,15
40769142,2015-10-17,Brookline Community Center,83
40769143,2015-10-17,Magee Community Center,76
40769144,2015-10-17,Ormsby Community Center,6
40769145,2015-10-17,Phillips Community Center,26
40769146,2015-10-16,West Penn Community Center,22
40769147,2015-10-16,Arlington Community Center,8
40769148,2015-10-16,Ammon Community Center,42
40769149,2015-10-16,Brookline Community Center,83
40769150,2015-10-16,Jefferson Community Center,23
40769151,2015-10-16,Magee Community Center,177
40769152,2015-10-16,Ormsby Community Center,26
40769153,2015-10-16,Phillips Community Center,96
40769154,2015-10-16,Warrington Community Center,29
40769155,2015-10-15,West Penn Community Center,116
40769156,2015-10-15,Ammon Community Center,79
40769157,2015-10-15,Arlington Community Center,14
40769158,2015-10-15,Jefferson Community Center,25
40769159,2015-10-15,Brookline Community Center,128
40769160,2015-10-15,Magee Community Center,51
40769161,2015-10-15,Ormsby Community Center,27
40769162,2015-10-15,Warrington Community Center,26
40769163,2015-10-15,Phillips Community Center,123
40769164,2015-10-14,West Penn Community Center,57
40769165,2015-10-14,Arlington Community Center,13
40769166,2015-10-14,Ammon Community Center,87
40769167,2015-10-14,Brookline Community Center,192
40769168,2015-10-14,Jefferson Community Center,38
40769169,2015-10-14,Magee Community Center,70
40769170,2015-10-14,Ormsby Community Center,39
40769171,2015-10-14,Phillips Community Center,67
40769172,2015-10-14,Warrington Community Center,29
40769173,2015-10-13,West Penn Community Center,66
40769174,2015-10-13,Ammon Community Center,203
40769175,2015-10-13,Arlington Community Center,26
40769176,2015-10-13,Jefferson Community Center,12
40769177,2015-10-13,Brookline Community Center,135
40769178,2015-10-13,Magee Community Center,33
40769179,2015-10-13,Ormsby Community Center,32
40769180,2015-10-13,Warrington Community Center,54
40769181,2015-10-13,Phillips Community Center,122
40769182,2015-10-12,West Penn Community Center,33
40769183,2015-10-12,Arlington Community Center,21
40769184,2015-10-12,Ammon Community Center,210
40769185,2015-10-12,Brookline Community Center,101
40769186,2015-10-12,Jefferson Community Center,14
40769187,2015-10-12,Magee Community Center,34
40769188,2015-10-12,Ormsby Community Center,25
40769189,2015-10-12,Phillips Community Center,95
40769190,2015-10-12,Warrington Community Center,35
40769191,2015-10-10,West Penn Community Center,33
40769192,2015-10-10,Ammon Community Center,31
40769193,2015-10-10,Brookline Community Center,70
40769194,2015-10-10,Magee Community Center,28
40769195,2015-10-10,Ormsby Community Center,10
40769196,2015-10-10,Phillips Community Center,34
40769197,2015-10-09,West Penn Community Center,33
40769198,2015-10-09,Ammon Community Center,117
40769199,2015-10-09,Arlington Community Center,26
40769200,2015-10-09,Brookline Community Center,66
40769201,2015-10-09,Jefferson Community Center,32
40769202,2015-10-09,Magee Community Center,37
40769203,2015-10-09,Ormsby Community Center,13
40769204,2015-10-09,Phillips Community Center,56
40769205,2015-10-09,Warrington Community Center,17
40769206,2015-10-08,West Penn Community Center,79
40769207,2015-10-08,Arlington Community Center,15
40769208,2015-10-08,Ammon Community Center,105
40769209,2015-10-08,Jefferson Community Center,29
40769210,2015-10-08,Brookline Community Center,136
40769211,2015-10-08,Magee Community Center,21
40769212,2015-10-08,Ormsby Community Center,34
40769213,2015-10-08,Warrington Community Center,31
40769214,2015-10-08,Phillips Community Center,76
40769215,2015-10-07,West Penn Community Center,86
40769216,2015-10-07,Ammon Community Center,58
40769217,2015-10-07,Arlington Community Center,34
40769218,2015-10-07,Brookline Community Center,105
40769219,2015-10-07,Jefferson Community Center,22
40769220,2015-10-07,Magee Community Center,24
40769221,2015-10-07,Ormsby Community Center,8
40769222,2015-10-07,Phillips Community Center,28
40769223,2015-10-07,Warrington Community Center,27
40769224,2015-10-06,West Penn Community Center,56
40769225,2015-10-06,Arlington Community Center,16
40769226,2015-10-06,Ammon Community Center,92
40769227,2015-10-06,Jefferson Community Center,25
40769228,2015-10-06,Brookline Community Center,109
40769229,2015-10-06,Magee Community Center,27
40769230,2015-10-06,Ormsby Community Center,35
40769231,2015-10-06,Warrington Community Center,27
40769232,2015-10-06,Phillips Community Center,103
40769233,2015-10-05,West Penn Community Center,62
40769234,2015-10-05,Ammon Community Center,91
40769235,2015-10-05,Arlington Community Center,16
40769236,2015-10-05,Brookline Community Center,123
40769237,2015-10-05,Jefferson Community Center,38
40769238,2015-10-05,Magee Community Center,20
40769239,2015-10-05,Ormsby Community Center,34
40769240,2015-10-05,Phillips Community Center,88
40769241,2015-10-05,Warrington Community Center,24
40769242,2015-10-03,West Penn Community Center,40
40769243,2015-10-03,Ammon Community Center,26
40769244,2015-10-03,Brookline Community Center,72
40769245,2015-10-03,Ormsby Community Center,9
40769246,2015-10-03,Warrington Community Center,4
40769247,2015-10-03,Phillips Community Center,26
40769248,2015-10-02,West Penn Community Center,22
40769249,2015-10-02,Ammon Community Center,54
40769250,2015-10-02,Arlington Community Center,31
40769251,2015-10-02,Brookline Community Center,94
40769252,2015-10-02,Jefferson Community Center,25
40769253,2015-10-02,Ormsby Community Center,20
40769254,2015-10-02,Phillips Community Center,52
40769255,2015-10-02,Warrington Community Center,29
40769256,2015-10-01,West Penn Community Center,67
40769257,2015-10-01,Arlington Community Center,37
40769258,2015-10-01,Ammon Community Center,117
40769259,2015-10-01,Jefferson Community Center,35
40769260,2015-10-01,Brookline Community Center,128
40769261,2015-10-01,Magee Community Center,21
40769262,2015-10-01,Ormsby Community Center,30
40769263,2015-10-01,Warrington Community Center,15
40769264,2015-10-01,Phillips Community Center,80
40769265,2015-09-30,West Penn Community Center,116
40769266,2015-09-30,Ammon Community Center,80
40769267,2015-09-30,Arlington Community Center,40
40769268,2015-09-30,Brookline Community Center,235
40769269,2015-09-30,Jefferson Community Center,31
40769270,2015-09-30,Magee Community Center,34
40769271,2015-09-30,Ormsby Community Center,21
40769272,2015-09-30,Phillips Community Center,51
40769273,2015-09-30,Warrington Community Center,32
40769274,2015-09-29,West Penn Community Center,44
40769275,2015-09-29,Arlington Community Center,41
40769276,2015-09-29,Ammon Community Center,168
40769277,2015-09-29,Jefferson Community Center,19
40769278,2015-09-29,Brookline Community Center,66
40769279,2015-09-29,Magee Community Center,47
40769280,2015-09-29,Ormsby Community Center,30
40769281,2015-09-29,Warrington Community Center,28
40769282,2015-09-29,Phillips Community Center,50
40769283,2015-09-28,West Penn Community Center,46
40769284,2015-09-28,Ammon Community Center,137
40769285,2015-09-28,Arlington Community Center,11
40769286,2015-09-28,Brookline Community Center,76
40769287,2015-09-28,Jefferson Community Center,19
40769288,2015-09-28,Magee Community Center,10
40769289,2015-09-28,Ormsby Community Center,32
40769290,2015-09-28,Phillips Community Center,117
40769291,2015-09-28,Warrington Community Center,32
40769292,2015-09-26,Ammon Community Center,57
40769293,2015-09-26,Brookline Community Center,63
40769294,2015-09-26,Magee Community Center,56
40769295,2015-09-26,Ormsby Community Center,9
40769296,2015-09-26,Phillips Community Center,25
40769297,2015-09-25,West Penn Community Center,25
40769298,2015-09-25,Ammon Community Center,70
40769299,2015-09-25,Brookline Community Center,19
40769300,2015-09-25,Jefferson Community Center,5
40769301,2015-09-25,Magee Community Center,38
40769302,2015-09-25,Ormsby Community Center,33
40769303,2015-09-25,Phillips Community Center,55
40769304,2015-09-25,Warrington Community Center,22
40769305,2015-09-24,West Penn Community Center,90
40769306,2015-09-24,Ammon Community Center,136
40769307,2015-09-24,Arlington Community Center,18
40769308,2015-09-24,Jefferson Community Center,12
40769309,2015-09-24,Brookline Community Center,113
40769310,2015-09-24,Magee Community Center,10
40769311,2015-09-24,Ormsby Community Center,48
40769312,2015-09-24,Warrington Community Center,15
40769313,2015-09-24,Phillips Community Center,98
40769314,2015-09-23,West Penn Community Center,64
40769315,2015-09-23,Arlington Community Center,16
